STUDENTS.ID,STU.TYPES,STU.TYPE.DATES,STU.TYPE.END.DATES,EffectiveDatetime,CurrentFlag
5041348,NULL,2020-06-01,9999-12-31,2020-04-28T03:25:18Z,Y
5064471,NULL,2019-08-05,9999-12-31,2020-02-13T18:53:56Z,Y
5039017,CCPP,2018-05-02,2019-08-05,2021-04-17T03:24:37Z,Y
5012533,NULL,2020-08-05,9999-12-31,2020-10-30T03:25:43Z,Y
5053479,NULL,2020-06-01,9999-12-31,2020-04-28T03:25:18Z,Y
5012533,CCPP,2018-08-03,2020-08-05,2020-10-30T03:25:43Z,Y
5064471,CCPP,2017-08-24,2019-08-05,2020-02-13T18:53:56Z,Y
5021462,NULL,2020-06-01,9999-12-31,2021-10-29T03:24:43Z,Y
5032146,NULL,2020-08-05,9999-12-31,2022-01-18T04:24:42Z,Y
5053479,CCPP,2019-04-15,2020-06-01,2020-04-28T03:25:18Z,Y
5032146,CCPP,2019-03-28,2020-08-05,2022-01-18T04:24:42Z,Y
5091577,CCPP,2018-06-28,2022-08-05,2022-03-08T04:24:39Z,Y
5049135,NULL,2020-08-05,9999-12-31,2020-11-14T04:24:36Z,Y
5049135,CCPP,2019-04-15,2020-08-05,2020-11-14T04:24:36Z,Y
5021462,CCPP,2018-05-07,2020-06-01,2021-10-29T03:24:43Z,Y
5021891,NULL,2020-08-05,9999-12-31,2020-02-13T18:54:25Z,Y
5021891,CCPP,2019-04-15,2020-08-05,2020-02-13T18:54:25Z,Y
5023925,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:17Z,Y
5035182,CCPP,2019-04-12,2020-06-01,2020-04-28T03:25:18Z,Y
5041348,CCPP,2019-04-12,2020-06-01,2020-04-28T03:25:18Z,Y
5023925,CCPP,2018-11-28,2019-08-05,2020-02-13T18:54:17Z,Y
5049274,NULL,2020-06-01,9999-12-31,2021-05-22T03:24:41Z,Y
5076339,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:09Z,Y
